time,open,high,low,close,tick_volume,spread,real_volume,point
2025-01-12,2689.769,2691.373,2687.578,2691.105,5107,0,0,0.001
2025-01-13,2691.128,2693.368,2656.768,2668.058,263602,0,0,0.001
2025-01-14,2667.976,2678.277,2659.802,2675.589,201655,0,0,0.001
2025-01-15,2675.58,2697.97,2669.391,2694.963,219196,0,0,0.001
2025-01-16,2694.98,2724.74,2689.907,2714.578,239926,0,0,0.001
2025-01-17,2714.624,2717.346,2699.242,2702.879,165131,0,0,0.001
2025-01-19,2702.629,2703.084,2691.53,2696.424,4805,0,0,0.001
2025-01-20,2696.424,2713.766,2689.355,2710.445,143542,0,0,0.001
2025-01-21,2710.433,2745.963,2702.797,2744.259,169686,0,0,0.001
2025-01-22,2744.309,2763.457,2742.713,2755.583,221043,0,0,0.001
2025-01-23,2755.563,2758.966,2735.77,2754.543,234977,0,0,0.001
2025-01-24,2754.546,2786.013,2754.329,2771.079,222071,0,0,0.001
2025-01-26,2765.65,2769.721,2765.185,2767.553,8225,0,0,0.001
2025-01-27,2767.554,2772.541,2730.452,2741.71,279620,0,0,0.001
2025-01-28,2741.743,2765.069,2734.762,2762.704,205237,0,0,0.001
2025-01-29,2762.701,2766.271,2744.744,2760.307,226740,0,0,0.001
2025-01-30,2760.243,2798.505,2758.633,2796.146,234513,0,0,0.001
2025-01-31,2796.183,2817.244,2791.025,2799.348,293534,0,0,0.001
2025-02-02,2801.018,2804.653,2784.271,2793.709,36924,0,0,0.001
2025-02-03,2793.726,2830.586,2772.152,2814.023,393132,0,0,0.001
2025-02-04,2813.985,2845.504,2807.2,2841.206,312962,0,0,0.001
2025-02-05,2841.26,2882.425,2839.691,2869.279,291059,0,0,0.001
2025-02-06,2869.272,2873.327,2834.055,2858.0,290629,0,0,0.001
2025-02-07,2857.994,2886.751,2852.442,2861.006,274030,0,0,0.001
2025-02-09,2861.269,2870.59,2860.136,2867.495,7916,0,0,0.001
2025-02-10,2867.539,2921.675,2865.83,2917.847,259221,0,0,0.001
2025-02-11,2917.894,2942.682,2881.751,2898.536,361092,0,0,0.001
2025-02-12,2898.562,2909.267,2864.146,2905.781,269383,0,0,0.001
2025-02-13,2905.756,2932.484,2901.437,2931.217,227983,0,0,0.001
2025-02-14,2931.192,2940.005,2876.991,2882.772,290194,0,0,0.001
2025-02-16,2893.643,2894.034,2878.43,2879.221,16152,0,0,0.001
2025-02-17,2879.254,2906.455,2879.254,2899.373,177663,0,0,0.001
2025-02-18,2899.325,2936.994,2892.003,2934.061,170586,0,0,0.001
2025-02-19,2934.059,2947.041,2918.524,2935.384,200684,0,0,0.001
2025-02-20,2935.386,2954.975,2924.114,2941.53,198806,0,0,0.001
2025-02-21,2941.57,2949.748,2916.682,2936.453,205639,0,0,0.001
2025-02-23,2939.411,2940.533,2936.498,2936.867,6014,0,0,0.001
2025-02-24,2936.863,2956.229,2921.316,2949.996,209805,0,0,0.001
2025-02-25,2949.957,2952.552,2888.229,2918.604,244670,0,0,0.001
2025-02-26,2918.631,2930.162,2890.669,2919.118,192380,0,0,0.001
2025-02-27,2919.176,2919.176,2867.721,2876.063,265930,0,0,0.001
2025-02-28,2876.069,2885.034,2832.578,2858.242,244460,0,0,0.001
2025-03-02,2873.556,2876.984,2863.968,2870.799,13996,0,0,0.001
2025-03-03,2870.866,2895.267,2858.83,2890.886,205259,0,0,0.001
2025-03-04,2890.863,2927.891,2881.878,2914.363,222925,0,0,0.001
2025-03-05,2914.362,2930.042,2894.303,2918.236,264746,0,0,0.001
2025-03-06,2918.237,2926.584,2891.159,2910.354,232898,0,0,0.001
2025-03-07,2910.298,2930.525,2896.669,2911.256,272763,0,0,0.001
2025-03-09,2912.347,2917.025,2909.608,2916.189,10291,0,0,0.001
2025-03-10,2916.19,2918.312,2880.166,2884.685,259858,0,0,0.001
2025-03-11,2884.724,2922.262,2880.121,2915.551,190961,0,0,0.001
2025-03-12,2915.589,2940.617,2905.97,2938.039,201906,0,0,0.001
2025-03-13,2938.025,2989.943,2932.92,2986.435,207919,0,0,0.001
2025-03-14,2986.473,3004.918,2978.396,2986.37,200184,0,0,0.001
2025-03-16,2987.601,2994.118,2986.054,2990.061,7871,0,0,0.001
2025-03-17,2989.965,3002.783,2982.158,2999.831,149580,0,0,0.001
2025-03-18,2999.803,3038.334,2999.49,3031.774,178182,0,0,0.001
2025-03-19,3031.801,3051.982,3022.738,3050.026,176851,0,0,0.001
2025-03-20,3050.023,3057.484,3025.635,3046.409,193229,0,0,0.001
2025-03-21,3046.335,3047.435,2999.385,3023.493,193592,0,0,0.001
2025-03-23,3023.441,3026.331,3022.143,3024.721,6789,0,0,0.001
2025-03-24,3024.709,3033.208,3002.466,3009.91,176511,0,0,0.001
2025-03-25,3009.945,3035.987,3007.507,3021.041,148157,0,0,0.001
2025-03-26,3021.037,3032.042,3012.325,3021.623,154149,0,0,0.001
2025-03-27,3021.563,3059.885,3021.522,3055.71,208968,0,0,0.001
2025-03-28,3055.726,3086.759,3054.993,3085.002,213801,0,0,0.001
2025-03-30,3092.531,3097.861,3087.793,3089.213,13212,0,0,0.001
2025-03-31,3089.159,3128.165,3076.841,3120.581,276572,0,0,0.001
2025-04-01,3120.561,3149.059,3100.761,3115.168,272404,0,0,0.001
2025-04-02,3115.16,3167.792,3104.742,3162.712,319396,0,0,0.001
2025-04-03,3162.55,3164.812,3054.052,3112.884,498046,0,0,0.001
2025-04-04,3112.908,3136.756,3015.593,3038.506,516507,0,0,0.001
2025-04-06,3028.686,3032.445,2977.024,2999.944,46371,0,0,0.001
2025-04-07,2999.954,3055.804,2956.374,2981.328,685479,0,0,0.001
2025-04-08,2981.363,3022.746,2969.978,2978.367,332841,0,0,0.001
2025-04-09,2978.398,3099.673,2972.466,3086.784,457847,0,0,0.001
2025-04-10,3086.745,3191.341,3078.431,3188.972,358899,0,0,0.001
2025-04-11,3188.993,3245.436,3184.783,3237.519,383338,0,0,0.001
2025-04-13,3220.46,3224.786,3213.589,3223.733,19664,0,0,0.001
2025-04-14,3223.699,3245.757,3193.552,3212.626,265847,0,0,0.001
2025-04-15,3212.601,3251.826,3210.002,3251.78,184867,0,0,0.001
2025-04-16,3251.804,3357.738,3251.59,3350.133,295419,0,0,0.001
2025-04-17,3350.168,3356.316,3283.828,3327.671,308805,0,0,0.001
2025-04-20,3331.849,3353.144,3331.312,3348.078,23638,0,0,0.001
2025-04-21,3348.119,3444.257,3347.487,3434.548,296219,0,0,0.001
2025-04-22,3434.524,3500.033,3315.828,3336.561,546947,0,0,0.001
2025-04-23,3336.607,3386.643,3260.042,3316.384,494581,0,0,0.001
2025-04-24,3316.351,3370.789,3306.739,3348.976,350479,0,0,0.001
2025-04-25,3348.948,3363.157,3265.0,3318.798,320956,0,0,0.001
2025-04-27,3325.64,3330.215,3298.606,3302.739,25677,0,0,0.001
2025-04-28,3302.745,3353.006,3268.048,3337.682,306758,0,0,0.001
2025-04-29,3337.643,3340.061,3299.649,3317.122,257264,0,0,0.001
2025-04-30,3317.122,3327.982,3266.901,3272.887,297418,0,0,0.001
2025-05-01,3272.922,3276.329,3201.862,3237.253,318451,0,0,0.001
2025-05-02,3237.291,3269.242,3222.721,3240.947,280155,0,0,0.001
2025-05-04,3238.49,3252.3,3237.562,3247.922,17230,0,0,0.001
2025-05-05,3247.969,3338.019,3241.18,3334.031,263107,0,0,0.001
2025-05-06,3334.038,3435.016,3323.139,3400.68,375690,0,0,0.001
